Date,Location,Rainfall,WindSpeed3pm,Humidity3pm,Temp3pm
2008-02-01,Sydney,15.6,20.0,84.0,20.9
2008-02-02,Sydney,6.0,13.0,73.0,24.8
2008-02-03,Sydney,6.6,2.0,86.0,23.0
2008-02-04,Sydney,18.8,20.0,90.0,20.9
2008-02-05,Sydney,77.4,6.0,74.0,25.5
2008-02-06,Sydney,1.6,22.0,62.0,26.0
2008-02-07,Sydney,6.2,15.0,80.0,22.3
2008-02-08,Sydney,27.6,15.0,61.0,21.1
2008-02-09,Sydney,12.6,9.0,91.0,16.5
2008-02-10,Sydney,8.8,20.0,53.0,23.3
2008-02-11,Sydney,0.0,26.0,53.0,23.7
2008-02-12,Sydney,0.0,24.0,67.0,24.7
2008-02-13,Sydney,14.4,30.0,70.0,21.0
2008-02-14,Sydney,3.0,19.0,51.0,23.3
2008-02-15,Sydney,0.0,22.0,56.0,23.8
2008-02-16,Sydney,0.0,26.0,52.0,23.3
2008-02-17,Sydney,0.0,24.0,62.0,23.4
2008-02-18,Sydney,0.0,24.0,59.0,23.8
2008-02-19,Sydney,0.0,17.0,65.0,23.4
2008-02-20,Sydney,0.0,22.0,60.0,25.2
2008-02-21,Sydney,0.0,15.0,62.0,24.9
2008-02-22,Sydney,0.4,28.0,66.0,24.9
2008-02-23,Sydney,0.0,24.0,45.0,24.0
2008-02-24,Sydney,0.0,24.0,40.0,26.1
2008-02-25,Sydney,0.0,20.0,54.0,23.5
2008-02-26,Sydney,0.0,28.0,65.0,25.8
2008-02-27,Sydney,22.2,15.0,52.0,24.7
2008-02-28,Sydney,4.2,9.0,88.0,19.2
2008-02-29,Sydney,33.0,28.0,51.0,19.9
2008-03-01,Sydney,0.2,31.0,46.0,21.2
2008-03-02,Sydney,5.4,17.0,54.0,22.4
2008-03-03,Sydney,0.2,19.0,57.0,22.5
2008-03-04,Sydney,0.0,19.0,57.0,23.8
2008-03-05,Sydney,0.0,22.0,64.0,24.1
2008-03-06,Sydney,0.0,19.0,65.0,24.7
2008-03-07,Sydney,0.0,24.0,75.0,23.3
2008-03-08,Sydney,17.4,22.0,71.0,21.5
2008-03-09,Sydney,0.0,19.0,64.0,23.8
2008-03-10,Sydney,0.0,24.0,50.0,25.5
2008-03-11,Sydney,0.0,20.0,58.0,26.0
2008-03-12,Sydney,0.0,22.0,60.0,25.0
2008-03-13,Sydney,0.0,20.0,69.0,25.3
2008-03-14,Sydney,0.0,24.0,62.0,25.7
2008-03-15,Sydney,0.0,20.0,64.0,25.6
2008-03-16,Sydney,0.0,24.0,69.0,24.7
2008-03-17,Sydney,0.0,,60.0,25.4
2008-03-18,Sydney,0.0,20.0,58.0,25.6
2008-03-19,Sydney,0.0,13.0,60.0,24.9
2008-03-20,Sydney,0.0,17.0,58.0,27.6
2008-03-21,Sydney,1.0,22.0,80.0,18.4
2008-03-22,Sydney,2.2,30.0,60.0,21.7
2008-03-23,Sydney,0.4,13.0,57.0,24.8
2008-03-24,Sydney,17.0,26.0,72.0,23.3
2008-03-25,Sydney,0.4,17.0,58.0,27.0
2008-03-26,Sydney,19.0,6.0,38.0,27.1
2008-03-27,Sydney,0.0,19.0,42.0,21.8
2008-03-28,Sydney,0.0,17.0,51.0,21.2
2008-03-29,Sydney,0.2,15.0,65.0,21.7
2008-03-30,Sydney,0.0,15.0,22.0,25.9
2008-03-31,Sydney,0.0,17.0,31.0,24.9
2008-04-01,Sydney,0.0,15.0,54.0,23.3
2008-04-02,Sydney,0.0,22.0,34.0,28.0
2008-04-03,Sydney,0.0,20.0,21.0,21.2
2008-04-04,Sydney,0.0,15.0,37.0,21.0
2008-04-05,Sydney,0.0,17.0,50.0,21.0
2008-04-06,Sydney,0.0,20.0,55.0,22.1
2008-04-07,Sydney,12.0,15.0,70.0,19.8
2008-04-08,Sydney,9.6,17.0,75.0,18.9
2008-04-09,Sydney,22.8,20.0,62.0,21.1
2008-04-10,Sydney,2.2,15.0,60.0,21.9
2008-04-11,Sydney,0.0,15.0,61.0,22.1
2008-04-12,Sydney,0.0,9.0,59.0,22.2
2008-04-13,Sydney,0.0,4.0,75.0,19.7
2008-04-14,Sydney,11.0,30.0,64.0,18.8
2008-04-15,Sydney,2.8,22.0,71.0,19.0
2008-04-16,Sydney,1.4,20.0,85.0,16.2
2008-04-17,Sydney,4.6,13.0,72.0,19.4
2008-04-18,Sydney,6.4,15.0,75.0,19.6
2008-04-19,Sydney,5.0,24.0,61.0,19.5
2008-04-20,Sydney,2.8,6.0,75.0,18.4
2008-04-21,Sydney,21.8,19.0,70.0,19.0
2008-04-22,Sydney,10.2,20.0,55.0,20.1
2008-04-23,Sydney,12.6,22.0,89.0,17.2
2008-04-24,Sydney,15.6,20.0,80.0,19.3
2008-04-25,Sydney,5.4,15.0,69.0,20.3
2008-04-26,Sydney,0.4,6.0,38.0,24.6
2008-04-27,Sydney,0.0,22.0,28.0,25.7
2008-04-28,Sydney,0.0,24.0,33.0,15.6
2008-04-29,Sydney,0.0,9.0,41.0,17.8
2008-04-30,Sydney,0.0,17.0,50.0,18.1
2008-05-01,Sydney,0.0,7.0,56.0,18.1
2008-05-02,Sydney,0.0,17.0,44.0,21.7
2008-05-03,Sydney,0.0,11.0,52.0,18.6
2008-05-04,Sydney,0.0,11.0,47.0,19.4
2008-05-05,Sydney,0.0,7.0,34.0,22.2
2008-05-06,Sydney,0.0,9.0,48.0,21.1
2008-05-07,Sydney,0.0,13.0,44.0,22.0
2008-05-08,Sydney,0.0,15.0,45.0,20.8
2008-05-09,Sydney,0.0,11.0,60.0,20.6
2008-05-10,Sydney,0.0,11.0,67.0,19.3
2008-05-11,Sydney,0.0,15.0,67.0,18.7
2008-05-12,Sydney,0.0,15.0,63.0,19.2
2008-05-13,Sydney,0.0,9.0,67.0,18.1
2008-05-14,Sydney,0.0,19.0,64.0,20.0
2008-05-15,Sydney,0.2,9.0,60.0,21.3
2008-05-16,Sydney,1.2,15.0,66.0,20.9
2008-05-17,Sydney,0.0,17.0,41.0,20.9
2008-05-18,Sydney,0.0,31.0,36.0,17.0
2008-05-19,Sydney,0.0,7.0,36.0,20.3
2008-05-20,Sydney,0.0,7.0,38.0,21.3
2008-05-21,Sydney,0.0,22.0,64.0,17.3
2008-05-22,Sydney,0.0,19.0,52.0,17.4
